restaurants ,address,cuisine,The_Speak_Easy ,zWORKS ,Launch_Fishers ,Industrious_Mass_Ave ,Launch_Indy 
Nesso,"339 Delaware St, Indianapolis, IN 46204",Italian,6.7,18.7,21.9,0.5,0.4
Greeks Islands ,"906 S Meridian St, Indianapolis, IN 46225",Greek,7.2,19,22.9,1,0.3
Yolk - City Way ,"220 E South St, Indianapolis, IN 46204",Brunch,6.6,18.8,21.8,0.5,0.4
Nada ,"11 W Maryland St, Indianapolis, IN 46204",Mexican ,6.4,18.4,21.5,0.3,0.6
Fogo de Chão Brazilian Steakhouse,"117 E Washington St, Indianapolis, IN 46204",Brazilian ,6.4,18.6,21.5,0.3,0.8
Café Patachou,"225 W Washington St, Indianapolis, IN 46204",American,6.5,17.9,21.7,0.7,0.8
Bento Asian Bistro,"901 Indiana Ave, Indianapolis, IN 46202",Chinese,6.2,17.2,21.5,1.9,1.9
Petite Chou Bistro,"823 E Westfield Blvd, Indianapolis, IN 46220",French,1.8,12.4,12.8,7.8,8.1
India garden restaurant,"207 N Delaware St, Indianapolis, IN 46204",Indian ,6,18.2,21.3,0.5,1.1
Mikado,"148 S Illinois St, Indianapolis, IN 46225",Japanese,6.6,18.6,21.8,0.4,0.4
Thai Paradise,"137 W Market St, Indianapolis, IN 46204",Thai,6.4,17.8,21.6,0.7,0.8
